Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,4,62,26.41101,-75.08594,2024-08-25,301.67212
0,4,63,26.335693,-74.802155,2024-08-25,301.617
0,4,64,26.259537,-74.51898,2024-08-25,301.7608
0,4,65,26.182499,-74.23639,2024-08-25,301.73453
0,4,66,26.104595,-73.95441,2024-08-25,301.531
0,4,67,26.02584,-73.673035,2024-08-25,301.47485
0,4,68,25.946228,-73.3923,2024-08-25,301.62766
0,4,69,25.865768,-73.11218,2024-08-25,301.8608
0,4,70,25.78447,-72.8327,2024-08-25,301.86032
0,4,71,25.70234,-72.55383,2024-08-25,302.06015
0,4,72,25.619362,-72.275604,2024-08-25,301.99664
0,5,0,29.511417,-93.56488,2024-08-25,303.69147
0,5,1,29.495995,-93.25604,2024-08-25,303.96738
0,5,2,29.479534,-92.94733,2024-08-25,304.1219
0,5,3,29.462044,-92.63876,2024-08-25,304.33426
0,5,4,29.443512,-92.33035,2024-08-25,304.02417
0,5,5,29.423943,-92.022095,2024-08-25,303.8188
0,5,6,29.403358,-91.71405,2024-08-25,302.99957
0,5,7,29.381748,-91.40619,2024-08-25,302.9757
0,5,8,29.359097,-91.09848,2024-08-25,302.98785
0,5,9,29.335419,-90.791016,2024-08-25,302.70447
0,5,10,29.31071,-90.483765,2024-08-25,302.74765
0,5,11,29.284985,-90.1767,2024-08-25,302.4562
0,5,12,29.258228,-89.8699,2024-08-25,302.4329
0,5,13,29.230457,-89.563324,2024-08-25,301.91064
0,5,14,29.20166,-89.25702,2024-08-25,301.38556
0,5,15,29.171848,-88.95093,2024-08-25,301.83344
0,5,16,29.141022,-88.64514,2024-08-25,301.71777
0,5,17,29.109188,-88.3396,2024-08-25,301.24347
0,5,18,29.076328,-88.03436,2024-08-25,301.48022
0,5,19,29.042469,-87.72943,2024-08-25,301.71988
0,5,20,29.007603,-87.42474,2024-08-25,301.7643
0,5,21,28.971718,-87.12042,2024-08-25,301.75052
0,5,22,28.934834,-86.816376,2024-08-25,301.6682
0,5,23,28.896938,-86.512665,2024-08-25,301.5639
0,5,24,28.858047,-86.20929,2024-08-25,301.3194
0,5,25,28.818169,-85.90625,2024-08-25,301.1549
0,5,26,28.77729,-85.60358,2024-08-25,301.07202
0,5,27,28.735394,-85.30127,2024-08-25,301.0932
0,5,28,28.69254,-84.9993,2024-08-25,301.1759
0,5,29,28.64869,-84.69769,2024-08-25,301.33862
0,5,30,28.603836,-84.396484,2024-08-25,301.4886
0,5,31,28.558006,-84.09567,2024-08-25,301.45645
0,5,32,28.5112,-83.79523,2024-08-25,301.53445
0,5,33,28.463406,-83.49524,2024-08-25,301.7852
0,5,34,28.414646,-83.19562,2024-08-25,302.0396
0,5,35,28.364918,-82.89642,2024-08-25,301.84976
0,5,36,28.314209,-82.59766,2024-08-25,301.05356
0,5,37,28.262524,-82.29932,2024-08-25,301.0141
0,5,38,28.209896,-82.001434,2024-08-25,299.8686
0,5,39,28.156288,-81.70398,2024-08-25,300.5566
0,5,40,28.101727,-81.40698,2024-08-25,299.80853
0,5,41,28.046211,-81.11047,2024-08-25,299.14578
0,5,42,27.989742,-80.81442,2024-08-25,299.22943
0,5,43,27.932339,-80.51883,2024-08-25,301.02408
0,5,44,27.873962,-80.223755,2024-08-25,301.65503
0,5,45,27.814655,-79.92914,2024-08-25,301.68384
0,5,46,27.754421,-79.63501,2024-08-25,301.66483
0,5,47,27.693233,-79.34143,2024-08-25,301.703
